"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90630;0.0;0.0
0-2;M;1;0;95584;0.0;0.0
3-5;K;6602;13;91251;7.2;0.0
3-5;M;7278;22;96544;7.5;0.0
6-11;K;77012;6424;179968;42.8;3.6
6-11;M;81455;6889;189223;43.0;3.6
12-15;K;117647;110145;144622;81.3;76.2
12-15;M;123558;115592;152299;81.1;75.9
16-19;K;123573;120800;137111;90.1;88.1
16-19;M;126187;122556;142269;88.7;86.1
20-39;K;617341;596493;732650;84.3;81.4
20-39;M;621965;600438;761808;81.6;78.8
40-64;K;889858;882303;952477;93.4;92.6
40-64;M;881047;872786;954505;92.3;91.4
65-79;K;450200;448911;464111;97.0;96.7
65-79;M;413358;412136;425735;97.1;96.8
80+;K;152623;152005;158037;96.6;96.2
80+;M;102572;102224;105425;97.3;97.0
