"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;50213;1078;298362;16.8;0.4
0-9;M;53891;1185;315048;17.1;0.4
10-19;K;274630;236306;345220;79.6;68.5
10-19;M;284588;243874;360871;78.9;67.6
20-29;K;318010;307015;381485;83.4;80.5
20-29;M;324238;311919;398324;81.4;78.3
30-39;K;299331;289478;351165;85.2;82.4
30-39;M;297727;288519;363484;81.9;79.4
40-49;K;343960;339688;374816;91.8;90.6
40-49;M;336177;331556;375646;89.5;88.3
50-59;K;377814;375282;401608;94.1;93.4
50-59;M;378881;376066;405025;93.5;92.9
60-69;K;325654;324351;339433;95.9;95.6
60-69;M;316741;315366;330033;96.0;95.6
70-79;K;292630;291893;300731;97.3;97.1
70-79;M;262606;261934;269536;97.4;97.2
80-89;K;127514;127081;131525;97.0;96.6
80-89;M;92490;92191;94933;97.4;97.1
90+;K;25109;24924;26512;94.7;94.0
90+;M;10082;10033;10492;96.1;95.6
