"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;494155;468741;591852
Midtjylland;1112295;1054427;1342060
Syddanmark;1013432;962592;1228460
Hovedstaden;1484235;1407950;1868426
Sjælland;688169;656029;843451
