"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;49678;978;297827;16.7;0.3
0-9;M;53305;1079;314462;17.0;0.3
10-19;K;259477;220846;330067;78.6;66.9
10-19;M;270261;229262;346544;78.0;66.2
20-29;K;319372;308420;382847;83.4;80.6
20-29;M;325181;312832;399267;81.4;78.4
30-39;K;298248;288289;350082;85.2;82.3
30-39;M;298135;288846;363892;81.9;79.4
40-49;K;337195;332926;368051;91.6;90.5
40-49;M;329014;324369;368483;89.3;88.0
50-59;K;377269;374712;401063;94.1;93.4
50-59;M;378703;375855;404847;93.5;92.8
60-69;K;328333;327017;342112;96.0;95.6
60-69;M;318529;317143;331821;96.0;95.6
70-79;K;297304;296553;305405;97.3;97.1
70-79;M;268863;268179;275793;97.5;97.2
80-89;K;137306;136866;141317;97.2;96.9
80-89;M;102351;102056;104794;97.7;97.4
90+;K;30683;30489;32086;95.6;95.0
90+;M;13079;13022;13489;97.0;96.5
