"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16887,4
AstraZeneca Covid-19 vaccine,Midtjylland,33725,97
AstraZeneca Covid-19 vaccine,Syddanmark,30540,278
AstraZeneca Covid-19 vaccine,Hovedstaden,45327,309
AstraZeneca Covid-19 vaccine,Sjælland,23892,341
Moderna Covid-19 Vaccine,Nordjylland,19199,4654
Moderna Covid-19 Vaccine,Midtjylland,28088,19653
Moderna Covid-19 Vaccine,Syddanmark,33180,34439
Moderna Covid-19 Vaccine,Hovedstaden,35514,26757
Moderna Covid-19 Vaccine,Sjælland,35427,31947
Pfizer BioNTech Covid-19 vacc,Nordjylland,147026,122346
Pfizer BioNTech Covid-19 vacc,Midtjylland,340959,241713
Pfizer BioNTech Covid-19 vacc,Syddanmark,330546,214759
Pfizer BioNTech Covid-19 vacc,Hovedstaden,504723,336492
Pfizer BioNTech Covid-19 vacc,Sjælland,245376,149556
