"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,183112,127004,590244
Midtjylland,402772,261463,1334520
Syddanmark,394266,249476,1224511
Hovedstaden,585564,363558,1857044
Sjælland,304695,181844,840545
