"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,77316,38912,590414
Midtjylland,158657,86062,1333289
Syddanmark,148226,82462,1224042
Hovedstaden,214356,112439,1856162
Sjælland,110743,53736,839413
