Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.531.320; 115.333;   6.904;   1.307
Sjælland; 637.010;  33.170;   2.394;     402
Syddanmark; 951.718;  34.897;   1.686;     217
Midtjylland;1.037.135;  41.867;   2.021;     351
Nordjylland; 488.638;  16.334;     871;     182
I alt i Danmark;4.645.821; 241.601;  13.876;   2.459
