Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;4786;8;4;50;4;50;2;2;2;293
2021-02-02;4612;8;5;62,5;3;37,5;5;0;5;308
2021-02-03;4833;9;5;55,5555555555556;4;44,4444444444444;5;0;6;343
2021-02-04;4471;4;2;50;2;50;2;0;5;322
2021-02-05;4335;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2576;8;6;75;2;25;6;0;3;262
2021-02-07;3006;11;7;63,6363636363636;4;36,3636363636364;7;0;6;326
2021-02-08;6909;11;6;54,5454545454545;5;45,4545454545455;6;0;5;439
2021-02-09;6040;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7026;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;8996;11;6;54,5454545454545;5;45,4545454545455;5;1;3;535
2021-02-12;9129;9;4;44,4444444444444;5;55,5555555555556;3;1;4;475
2021-02-13;4816;13;7;53,8461538461539;6;46,1538461538462;6;1;6;339
2021-02-14;4768;13;9;69,2307692307692;4;30,7692307692308;7;2;9;435
2021-02-15;17043;48;24;50;24;50;17;7;25;1155
2021-02-16;16812;59;44;74,5762711864407;15;25,4237288135593;33;10;19;1340
2021-02-17;26007;84;52;61,9047619047619;32;38,0952380952381;43;9;20;2014
2021-02-18;29882;51;40;78,4313725490196;11;21,5686274509804;33;4;30;1801
2021-02-19;34030;85;54;63,5294117647059;31;36,4705882352941;42;12;37;1829
2021-02-20;21516;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1622
2021-02-21;20153;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;25408;82;62;75,609756097561;20;24,390243902439;45;15;27;1897
2021-02-23;29269;100;70;70;30;30;58;10;34;2039
2021-02-24;29555;91;57;62,6373626373626;34;37,3626373626374;43;12;33;2113
