Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 159.521 (49); 169.002 (51); 328.523
10-19; 243.427 (50); 243.048 (50); 486.475
20-29; 231.673 (53); 207.999 (47); 439.672
30-39; 227.857 (53); 200.621 (47); 428.478
40-49; 225.204 (53); 196.548 (47); 421.752
50-59; 187.099 (52); 170.215 (48); 357.314
60-69; 115.111 (52); 106.438 (48); 221.549
70-79;  66.864 (50);  66.119 (50); 132.983
80-89;  24.377 (53);  21.423 (47);  45.800
90+;   7.123 (69);   3.162 (31);  10.285
I alt;1.488.275 (52);1.384.601 (48);2.872.877
