"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,62228,27584,10.5,4.7,590435
Midtjylland,129829,58440,9.7,4.4,1332906
Syddanmark,128326,49153,10.5,4.0,1223861
Hovedstaden,179303,73883,9.7,4.0,1855873
Sjælland,85032,40263,10.1,4.8,839156
