"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16857,0
AstraZeneca Covid-19 vaccine,Midtjylland,33511,0
AstraZeneca Covid-19 vaccine,Syddanmark,30400,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45053,5
AstraZeneca Covid-19 vaccine,Sjælland,23834,332
Moderna Covid-19 Vaccine,Nordjylland,4164,3055
Moderna Covid-19 Vaccine,Midtjylland,4474,1180
Moderna Covid-19 Vaccine,Syddanmark,6269,3849
Moderna Covid-19 Vaccine,Hovedstaden,6331,1917
Moderna Covid-19 Vaccine,Sjælland,3746,1043
Pfizer BioNTech Covid-19 vacc,Nordjylland,41207,24529
Pfizer BioNTech Covid-19 vacc,Midtjylland,91844,57260
Pfizer BioNTech Covid-19 vacc,Syddanmark,91657,45058
Pfizer BioNTech Covid-19 vacc,Hovedstaden,127919,71961
Pfizer BioNTech Covid-19 vacc,Sjælland,57452,38888
