"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-18,Hovedstaden,K,295844,197730,290589,193825,5255,3905
2021-05-18,Hovedstaden,M,224158,137072,218546,133990,5612,3082
2021-05-18,Midtjylland,K,214515,137994,211255,132096,3260,5898
2021-05-18,Midtjylland,M,157734,97989,154272,93928,3462,4061
2021-05-18,Nordjylland,K,97487,67028,96803,65175,684,1853
2021-05-18,Nordjylland,M,71053,48118,70434,47293,619,825
2021-05-18,Sjælland,K,152001,97202,148926,95012,3075,2190
2021-05-18,Sjælland,M,117354,71542,114260,70314,3094,1228
2021-05-18,Syddanmark,K,206477,124782,203820,121080,2657,3702
2021-05-18,Syddanmark,M,156551,90701,153547,87673,3004,3028
