"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,126261,75295,19.8,11.8,638716
Frederiksberg,28327,18592,27.5,18.0,103186
Ballerup,15088,10173,30.8,20.7,49054
Brøndby,11055,7236,31.2,20.4,35422
Dragør,5391,3467,36.9,23.8,14590
Gentofte,24130,15610,32.5,21.0,74261
Gladsaxe,19520,12434,28.3,18.0,68927
Glostrup,7194,4824,30.6,20.5,23483
Herlev,8933,5836,31.0,20.3,28810
Albertslund,7954,5449,29.3,20.1,27171
Hvidovre,15806,10267,29.7,19.3,53267
Høje Tåstrup,15027,9950,28.7,19.0,52303
Lyngby-Taarbæk,17270,11399,30.3,20.0,57066
Rødovre,12160,7526,29.5,18.3,41202
Ishøj,6291,4093,27.3,17.7,23085
Tårnby,13495,8198,31.6,19.2,42714
Vallensbæk,5001,3523,30.2,21.3,16571
Furesø,13457,9185,32.8,22.4,41084
Allerød,8530,5627,32.9,21.7,25930
Fredensborg,14356,9680,35.0,23.6,41034
Helsingør,22927,15379,36.3,24.4,63117
Hillerød,17057,11076,32.9,21.3,51891
Hørsholm,9660,6845,38.9,27.6,24818
Rudersdal,19095,13056,33.5,22.9,57077
Egedal,13395,8773,30.5,19.9,43977
Frederikssund,16773,11042,36.7,24.1,45743
Greve,14785,9853,29.2,19.5,50636
Køge,17662,11252,28.7,18.3,61577
Halsnæs,12452,8115,39.6,25.8,31476
Roskilde,26173,16708,29.5,18.8,88825
Solrød,6430,4349,27.4,18.5,23489
Gribskov,16657,10668,40.5,26.0,41107
Odsherred,13227,8265,40.2,25.1,32939
Holbæk,23029,14078,31.9,19.5,72217
Faxe,11039,6943,29.9,18.8,36881
Kalundborg,16334,9976,33.8,20.6,48378
Ringsted,8899,5675,25.4,16.2,35035
Slagelse,26668,16199,33.6,20.4,79452
Stevns,7415,4899,31.9,21.1,23241
Sorø,9790,6063,32.7,20.2,29943
Lejre,9117,5802,32.0,20.4,28463
Lolland,14284,9057,35.4,22.4,40353
Næstved,26241,16062,31.5,19.3,83395
Guldborgsund,22352,13532,37.0,22.4,60389
Vordingborg,15910,10031,35.1,22.1,45305
Bornholm,16740,11484,42.1,28.9,39741
Middelfart,12360,7747,31.4,19.7,39332
Assens,12997,7592,31.8,18.6,40885
Faaborg-Midtfyn,16407,10157,31.7,19.6,51709
Kerteminde,7929,4815,33.2,20.2,23872
Nyborg,9726,6194,30.4,19.3,32017
Odense,55369,32679,27.0,16.0,204865
Svendborg,19099,12094,32.5,20.6,58832
Nordfyn,9478,5422,32.1,18.4,29540
Langeland,4715,2847,38.2,23.1,12338
Ærø,2515,1482,41.9,24.7,6008
Haderslev,15665,7825,28.3,14.1,55354
Billund,7117,4715,26.8,17.8,26542
Sønderborg,24701,12003,33.5,16.3,73769
Tønder,10942,5869,29.6,15.9,37012
Esbjerg,35880,23016,31.0,19.9,115592
Fanø,1486,972,43.2,28.2,3443
Varde,15549,10047,31.3,20.2,49727
Vejen,11792,7318,27.5,17.1,42810
Aabenraa,18559,9053,31.7,15.5,58578
Fredericia,14603,9318,28.4,18.1,51441
Horsens,24214,15118,26.1,16.3,92820
Kolding,24307,14731,26.1,15.8,93071
Vejle,31832,19587,27.0,16.6,117775
Herning,25767,15947,28.8,17.8,89353
Holstebro,17682,10522,30.1,17.9,58678
Lemvig,6963,4295,35.7,22.0,19513
Struer,7228,4617,34.7,22.2,20818
Syddjurs,14396,8982,33.1,20.7,43427
Norddjurs,12584,7822,34.0,21.1,37005
Favrskov,13339,8504,27.4,17.5,48601
Odder,7360,4851,31.9,21.0,23059
Randers,27644,18194,28.1,18.5,98427
Silkeborg,26887,17438,28.0,18.1,96130
Samsø,1619,897,43.8,24.2,3700
Skanderborg,16834,10811,26.4,17.0,63646
Århus,82153,52331,23.3,14.9,352300
Ikast-Brande,11739,7441,28.2,17.9,41645
Ringkøbing-Skjern,17911,10616,31.8,18.9,56237
Hedensted,13615,8467,29.0,18.0,46971
Morsø,6731,4692,33.5,23.4,20081
Skive,15365,10364,33.9,22.8,45368
Thisted,12789,8618,29.6,20.0,43134
Viborg,28949,18766,29.9,19.4,96675
Brønderslev,10569,7237,29.3,20.1,36067
Frederikshavn,18972,14020,32.2,23.8,58976
Vesthimmerland,11026,7792,30.3,21.4,36353
Læsø,1341,543,75.5,30.6,1777
Rebild,8223,5430,26.9,17.8,30515
Mariagerfjord,12719,8171,30.6,19.7,41582
Jammerbugt,11782,7593,30.9,19.9,38167
Aalborg,54579,37738,24.9,17.2,219466
Hjørring,19809,13312,30.9,20.8,64092
