"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,168540,115146,590210
Midtjylland,372249,235983,1334373
Syddanmark,363028,215483,1224512
Hovedstaden,520002,334802,1856823
Sjælland,269355,168744,840518
