Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.552.200; 121.564;   6.714;   1.333
Sjælland; 648.071;  34.694;   2.296;     402
Syddanmark; 967.725;  36.700;   1.615;     219
Midtjylland;1.056.125;  44.442;   1.963;     352
Nordjylland; 494.697;  17.448;     854;     185
I alt i Danmark;4.718.818; 254.848;  13.442;   2.491
