Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.222 (48);   9.961 (52);  19.183
10-19;  19.674 (49);  20.733 (51);  40.407
20-29;  24.643 (51);  23.886 (49);  48.529
30-39;  18.201 (51);  17.666 (49);  35.867
40-49;  19.953 (53);  17.828 (47);  37.781
50-59;  18.612 (51);  17.839 (49);  36.451
60-69;   9.536 (49);  10.119 (51);  19.655
70-79;   5.827 (49);   5.974 (51);  11.801
80-89;   3.449 (58);   2.525 (42);   5.974
90+;   1.310 (71);     547 (29);   1.857
I alt; 130.427 (51); 127.078 (49); 257.505
