Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 144.770 (49); 153.179 (51); 297.949
10-19; 219.936 (50); 220.223 (50); 440.159
20-29; 189.591 (52); 172.766 (48); 362.357
30-39; 188.183 (53); 164.238 (47); 352.421
40-49; 181.713 (53); 159.406 (47); 341.119
50-59; 131.032 (52); 123.214 (48); 254.246
60-69;  70.437 (51);  67.815 (49); 138.252
70-79;  35.339 (49);  36.086 (51);  71.425
80-89;  13.284 (54);  11.192 (46);  24.476
90+;   4.290 (69);   1.892 (31);   6.182
I alt;1.178.592 (51);1.110.035 (49);2.288.628
