Dato;AG_testede;AG_pos;AGpos_PCRkonf;Andel_AGpos_PCRkonf_pct;AGpos_minusPCRkonf;Andel_AGminusPCRkonf_pct;AGpos_PCRpos;AGposPCRneg;AGnegPCRpos;AGnegPCRneg
2021-02-01;5019;8;4;50;4;50;2;2;2;294
2021-02-02;4756;9;5;55,5555555555556;4;44,4444444444444;5;0;5;308
2021-02-03;4997;10;6;60;4;40;6;0;6;343
2021-02-04;4594;7;3;42,8571428571429;4;57,1428571428571;3;0;5;322
2021-02-05;4468;7;5;71,4285714285714;2;28,5714285714286;4;1;6;280
2021-02-06;2654;10;6;60;4;40;6;0;3;264
2021-02-07;3078;14;7;50;7;50;7;0;6;326
2021-02-08;7192;13;7;53,8461538461539;6;46,1538461538462;6;1;5;439
2021-02-09;6273;6;4;66,6666666666667;2;33,3333333333333;4;0;5;390
2021-02-10;7269;13;5;38,4615384615385;8;61,5384615384615;4;1;1;498
2021-02-11;9374;13;7;53,8461538461539;6;46,1538461538462;6;1;3;537
2021-02-12;9394;9;4;44,4444444444444;5;55,5555555555556;3;1;4;477
2021-02-13;4928;15;8;53,3333333333333;7;46,6666666666667;7;1;6;339
2021-02-14;4885;20;10;50;10;50;7;3;9;435
2021-02-15;17540;48;24;50;24;50;17;7;25;1155
2021-02-16;17334;60;44;73,3333333333333;16;26,6666666666667;33;10;19;1340
2021-02-17;26708;86;53;61,6279069767442;33;38,3720930232558;44;9;20;2014
2021-02-18;30628;52;40;76,9230769230769;12;23,0769230769231;33;4;30;1803
2021-02-19;34803;86;54;62,7906976744186;32;37,2093023255814;42;12;37;1829
2021-02-20;22040;62;41;66,1290322580645;21;33,8709677419355;33;8;36;1624
2021-02-21;20687;94;66;70,2127659574468;28;29,7872340425532;59;4;41;1693
2021-02-22;26428;101;75;74,2574257425743;26;25,7425742574258;54;19;27;1899
2021-02-23;30296;100;70;70;30;30;58;10;34;2049
2021-02-24;30455;92;57;61,9565217391304;35;38,0434782608696;43;12;33;2122
2021-02-25;29044;89;53;59,5505617977528;36;40,4494382022472;44;9;20;1635
