"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,142611,84284,22.3,13.2,638746
Frederiksberg,31761,20206,30.8,19.6,103165
Ballerup,17569,11049,35.8,22.5,49075
Brøndby,12851,7545,36.3,21.3,35444
Dragør,5933,3707,40.6,25.4,14605
Gentofte,27907,16834,37.6,22.7,74268
Gladsaxe,22377,13767,32.5,20.0,68937
Glostrup,8412,5139,35.8,21.9,23488
Herlev,10164,6409,35.3,22.2,28828
Albertslund,9337,5742,34.3,21.1,27202
Hvidovre,18086,10911,34.0,20.5,53264
Høje Tåstrup,17661,10431,33.7,19.9,52346
Lyngby-Taarbæk,19744,12419,34.6,21.8,57071
Rødovre,13846,8208,33.6,19.9,41181
Ishøj,7450,4263,32.3,18.5,23080
Tårnby,14847,8879,34.8,20.8,42719
Vallensbæk,5862,3650,35.3,22.0,16590
Furesø,15543,9892,37.8,24.1,41086
Allerød,9889,6099,38.1,23.5,25931
Fredensborg,16424,10458,40.0,25.5,41044
Helsingør,26316,16612,41.7,26.3,63108
Hillerød,19319,12274,37.2,23.6,51911
Hørsholm,10907,7275,44.0,29.3,24809
Rudersdal,21722,13979,38.1,24.5,57072
Egedal,15723,9519,35.8,21.7,43967
Frederikssund,19225,12056,42.0,26.3,45763
Greve,17178,10404,33.9,20.5,50635
Køge,20360,12255,33.0,19.9,61610
Halsnæs,13833,8976,44.0,28.5,31474
Roskilde,30003,18197,33.8,20.5,88823
Solrød,7515,4620,32.0,19.7,23481
Gribskov,18602,11860,45.2,28.8,41115
Odsherred,14519,8973,44.1,27.2,32936
Holbæk,26915,15511,37.3,21.5,72230
Faxe,12730,7570,34.5,20.5,36861
Kalundborg,19098,10690,39.5,22.1,48379
Ringsted,10416,6141,29.7,17.5,35035
Slagelse,31222,17412,39.3,21.9,79469
Stevns,8648,5352,37.2,23.0,23242
Sorø,11577,6521,38.7,21.8,29925
Lejre,10427,6285,36.6,22.1,28469
Lolland,16563,9717,41.1,24.1,40344
Næstved,30290,17587,36.3,21.1,83399
Guldborgsund,25424,14715,42.1,24.4,60404
Vordingborg,18184,10765,40.1,23.8,45303
Bornholm,18860,12085,47.4,30.4,39755
Middelfart,13569,9012,34.5,22.9,39334
Assens,14291,8901,35.0,21.8,40871
Faaborg-Midtfyn,18064,11893,34.9,23.0,51721
Kerteminde,8706,5558,36.5,23.3,23873
Nyborg,10699,7148,33.4,22.3,32028
Odense,60946,38309,29.7,18.7,204874
Svendborg,20828,14152,35.4,24.1,58837
Nordfyn,10344,6392,35.0,21.6,29548
Langeland,5219,3458,42.3,28.0,12336
Ærø,2755,1734,45.9,28.9,6005
Haderslev,16769,10411,30.3,18.8,55333
Billund,7829,5391,29.5,20.3,26562
Sønderborg,27296,15137,37.0,20.5,73773
Tønder,11821,7330,32.0,19.8,36996
Esbjerg,41418,24913,35.8,21.6,115580
Fanø,1611,1055,46.8,30.7,3441
Varde,18295,10977,36.8,22.1,49727
Vejen,12967,8506,30.3,19.9,42804
Aabenraa,19813,11087,33.8,18.9,58563
Fredericia,15555,10990,30.2,21.4,51462
Horsens,26333,17096,28.4,18.4,92852
Kolding,26275,17713,28.2,19.0,93068
Vejle,35250,23097,29.9,19.6,117775
Herning,27134,17657,30.4,19.8,89381
Holstebro,19010,11944,32.4,20.4,58664
Lemvig,7322,4739,37.5,24.3,19512
Struer,7870,5142,37.8,24.7,20812
Syddjurs,15338,10177,35.3,23.4,43424
Norddjurs,13168,9054,35.6,24.5,37004
Favrskov,14358,9569,29.6,19.7,48585
Odder,8045,5289,34.9,22.9,23069
Randers,29817,20716,30.3,21.0,98417
Silkeborg,29723,19109,30.9,19.9,96145
Samsø,1754,1097,47.4,29.7,3699
Skanderborg,18845,11895,29.6,18.7,63680
Århus,91831,57402,26.1,16.3,352308
Ikast-Brande,12525,8143,30.1,19.5,41666
Ringkøbing-Skjern,19206,11935,34.1,21.2,56269
Hedensted,14866,9655,31.6,20.6,46977
Morsø,6947,5213,34.6,26.0,20081
Skive,16544,11030,36.5,24.3,45371
Thisted,14200,10122,32.9,23.5,43131
Viborg,31320,20979,32.4,21.7,96685
Brønderslev,11023,7969,30.6,22.1,36080
Frederikshavn,21031,14571,35.7,24.7,58971
Vesthimmerland,12626,8795,34.7,24.2,36355
Læsø,1397,690,78.4,38.7,1781
Rebild,9221,6174,30.2,20.2,30514
Mariagerfjord,14208,9743,34.2,23.4,41584
Jammerbugt,12118,8716,31.7,22.8,38172
Aalborg,59854,42689,27.3,19.4,219482
Hjørring,21991,15329,34.3,23.9,64093
