"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-25,Hovedstaden,K,329888,216077,326523,215325,3365,752
2021-05-25,Hovedstaden,M,262893,148451,259041,148233,3852,218
2021-05-25,Midtjylland,K,230140,154375,229184,153616,956,759
2021-05-25,Midtjylland,M,174869,108253,173588,107847,1281,406
2021-05-25,Nordjylland,K,105060,76965,104398,75044,662,1921
2021-05-25,Nordjylland,M,79556,53046,78714,51960,842,1086
2021-05-25,Sjælland,K,171625,106314,168622,105624,3003,690
2021-05-25,Sjælland,M,139444,76401,136073,76220,3371,181
2021-05-25,Syddanmark,K,224000,147436,221161,145394,2839,2042
2021-05-25,Syddanmark,M,176320,105728,173105,104082,3215,1646
