"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,142611,84284,638746
Frederiksberg,31761,20206,103165
Ballerup,17569,11049,49075
Brøndby,12851,7545,35444
Dragør,5933,3707,14605
Gentofte,27907,16834,74268
Gladsaxe,22377,13767,68937
Glostrup,8412,5139,23488
Herlev,10164,6409,28828
Albertslund,9337,5742,27202
Hvidovre,18086,10911,53264
Høje-Taastrup,17661,10431,52346
Lyngby-Taarbæk,19744,12419,57071
Rødovre,13846,8208,41181
Ishøj,7450,4263,23080
Tårnby,14847,8879,42719
Vallensbæk,5862,3650,16590
Furesø,15543,9892,41086
Allerød,9889,6099,25931
Fredensborg,16424,10458,41044
Helsingør,26316,16612,63108
Hillerød,19319,12274,51911
Hørsholm,10907,7275,24809
Rudersdal,21722,13979,57072
Egedal,15723,9519,43967
Frederikssund,19225,12056,45763
Greve,17178,10404,50635
Køge,20360,12255,61610
Frederiksværk-Hundested,13833,8976,31474
Roskilde,30003,18197,88823
Solrød,7515,4620,23481
Gribskov,18602,11860,41115
Odsherred,14519,8973,32936
Holbæk,26915,15511,72230
Faxe,12730,7570,36861
Kalundborg,19098,10690,48379
Ringsted,10416,6141,35035
Slagelse,31222,17412,79469
Stevns,8648,5352,23242
Sorø,11577,6521,29925
Lejre,10427,6285,28469
Lolland,16563,9717,40344
Næstved,30290,17587,83399
Guldborgsund,25424,14715,60404
Vordingborg,18184,10765,45303
Bornholm,18860,12085,39755
Middelfart,13569,9012,39334
Assens,14291,8901,40871
Faaborg-Midtfyn,18064,11893,51721
Kerteminde,8706,5558,23873
Nyborg,10699,7148,32028
Odense,60946,38309,204874
Svendborg,20828,14152,58837
Nordfyns,10344,6392,29548
Langeland,5219,3458,12336
Ærø,2755,1734,6005
Haderslev,16769,10411,55333
Billund,7829,5391,26562
Sønderborg,27296,15137,73773
Tønder,11821,7330,36996
Esbjerg,41418,24913,115580
Fanø,1611,1055,3441
Varde,18295,10977,49727
Vejen,12967,8506,42804
Aabenraa,19813,11087,58563
Fredericia,15555,10990,51462
Horsens,26333,17096,92852
Kolding,26275,17713,93068
Vejle,35250,23097,117775
Herning,27134,17657,89381
Holstebro,19010,11944,58664
Lemvig,7322,4739,19512
Struer,7870,5142,20812
Syddjurs,15338,10177,43424
Norddjurs,13168,9054,37004
Favrskov,14358,9569,48585
Odder,8045,5289,23069
Randers,29817,20716,98417
Silkeborg,29723,19109,96145
Samsø,1754,1097,3699
Skanderborg,18845,11895,63680
Århus,91831,57402,352308
Ikast-Brande,12525,8143,41666
Ringkøbing-Skjern,19206,11935,56269
Hedensted,14866,9655,46977
Morsø,6947,5213,20081
Skive,16544,11030,45371
Thisted,14200,10122,43131
Viborg,31320,20979,96685
Brønderslev-Dronninglund,11023,7969,36080
Frederikshavn,21031,14571,58971
Vesthimmerlands,12626,8795,36355
Læsø,1397,690,1781
Rebild,9221,6174,30514
Mariagerfjord,14208,9743,41584
Jammerbugt,12118,8716,38172
Ålborg,59854,42689,219482
Hjørring,21991,15329,64093
