Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.222.812;  49.193;   2.842;     506
Sjælland; 472.280;  12.300;     947;     151
Syddanmark; 683.003;  12.888;     636;      65
Midtjylland; 781.935;  18.549;     906;     131
Nordjylland; 406.957;   6.489;     357;      65
I alt i Danmark;3.566.987;  99.419;   5.688;     918
