Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     272 (49);     281 (51);     553
10-19;     620 (53);     552 (47);   1.172
20-29;   1.485 (58);   1.090 (42);   2.575
30-39;   1.319 (56);   1.051 (44);   2.370
40-49;   1.548 (58);   1.140 (42);   2.688
50-59;   1.570 (57);   1.195 (43);   2.765
60-69;     800 (48);     866 (52);   1.666
70-79;     554 (46);     641 (54);   1.195
80-89;     494 (57);     374 (43);     868
90+;     199 (72);      76 (28);     275
I alt;   8.861 (55);   7.266 (45);  16.127
