"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16857,0
AstraZeneca Covid-19 vaccine,Midtjylland,33534,0
AstraZeneca Covid-19 vaccine,Syddanmark,30408,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45083,6
AstraZeneca Covid-19 vaccine,Sjælland,23847,331
Moderna Covid-19 Vaccine,Nordjylland,4158,3056
Moderna Covid-19 Vaccine,Midtjylland,5080,1617
Moderna Covid-19 Vaccine,Syddanmark,6620,3987
Moderna Covid-19 Vaccine,Hovedstaden,7657,1918
Moderna Covid-19 Vaccine,Sjælland,4064,1058
Pfizer BioNTech Covid-19 vacc,Nordjylland,42673,28644
Pfizer BioNTech Covid-19 vacc,Midtjylland,93848,63333
Pfizer BioNTech Covid-19 vacc,Syddanmark,94463,49979
Pfizer BioNTech Covid-19 vacc,Hovedstaden,128414,81603
Pfizer BioNTech Covid-19 vacc,Sjælland,59237,42173
