"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,63688,31700,10.8,5.4,590434
Midtjylland,132462,64950,9.9,4.9,1332983
Syddanmark,131491,54212,10.7,4.4,1223860
Hovedstaden,181154,83527,9.8,4.5,1855824
Sjælland,87148,43562,10.4,5.2,839210
