"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,63688,31700,590434
Midtjylland,132462,64950,1332983
Syddanmark,131491,54212,1223860
Hovedstaden,181154,83527,1855824
Sjælland,87148,43562,839210
