"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,46578,17448,638701
Frederiksberg,9435,3660,103413
Ballerup,4742,1455,49125
Brøndby,3533,1107,35380
Dragør,1402,483,14570
Gentofte,7460,2920,74383
Gladsaxe,6998,2637,69190
Glostrup,2800,1162,23465
Herlev,3198,1182,28816
Albertslund,2599,1092,27232
Hvidovre,5702,2227,53330
Høje-Taastrup,4846,2052,52124
Lyngby-Taarbæk,5836,2064,56821
Rødovre,4118,1267,41177
Ishøj,1881,685,23054
Tårnby,4194,1434,42713
Vallensbæk,1675,612,16550
Furesø,4391,1539,40952
Allerød,2754,885,25854
Fredensborg,4352,1660,40992
Helsingør,7017,2398,63030
Hillerød,6061,2372,51726
Hørsholm,2957,1040,24842
Rudersdal,6236,2077,56957
Egedal,3869,1264,43704
Frederikssund,5003,1702,45533
Greve,4528,1688,50565
Køge,5573,2315,61529
Frederiksværk-Hundested,3643,1162,31421
Roskilde,8893,3972,88786
Solrød,2043,869,23447
Gribskov,4599,1639,40970
Odsherred,3507,1303,32895
Holbæk,7095,2902,71984
Faxe,3358,1360,36762
Kalundborg,4479,1810,48425
Ringsted,2920,1298,34896
Slagelse,7944,3583,79225
Stevns,2184,789,23166
Sorø,3035,1289,29980
Lejre,2736,1130,28257
Lolland,3915,1863,40432
Næstved,8296,3781,83259
Guldborgsund,6657,2852,60313
Vordingborg,4481,1804,45197
Bornholm,4653,1635,39722
Middelfart,4658,1640,39245
Assens,3947,1254,40853
Faaborg-Midtfyn,5166,1706,51632
Kerteminde,2377,800,23821
Nyborg,3261,1002,31957
Odense,19922,7029,205126
Svendborg,7042,3216,58735
Nordfyns,2898,874,29541
Langeland,1484,575,12363
Ærø,740,305,5988
Haderslev,5067,1896,55321
Billund,2375,809,26517
Sønderborg,6931,2487,73788
Tønder,3432,1280,37018
Esbjerg,12482,4254,115553
Fanø,378,135,3448
Varde,5252,1556,49644
Vejen,4465,1547,42764
Aabenraa,4843,1761,58555
Fredericia,5499,2013,51384
Horsens,7958,3195,92547
Kolding,8581,3314,93122
Vejle,11111,4261,117451
Herning,8744,4173,89279
Holstebro,6186,2648,58696
Lemvig,2052,995,19574
Struer,2297,997,20807
Syddjurs,4086,1964,43248
Norddjurs,3740,1972,36965
Favrskov,4363,1884,48444
Odder,2466,1235,22988
Randers,9682,3995,98312
Silkeborg,8882,3654,95873
Samsø,489,446,3681
Skanderborg,5331,2212,63457
Århus,30572,11173,352450
Ikast-Brande,3555,1688,41519
Ringkøbing-Skjern,5546,2820,56148
Hedensted,4110,2063,46827
Morsø,2503,1171,20062
Skive,4778,2449,45421
Thisted,4245,1675,43105
Viborg,9993,4226,96625
Brønderslev-Dronninglund,3675,1460,36107
Frederikshavn,5926,2378,58971
Vesthimmerlands,3787,1395,36340
Læsø,286,118,1773
Rebild,2808,1071,30490
Mariagerfjord,4254,1432,41591
Jammerbugt,3687,1318,38129
Ålborg,21335,7811,219755
Hjørring,7233,2670,64114
