Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     289 (49);     295 (51);     584
10-19;     655 (52);     604 (48);   1.259
20-29;   1.536 (57);   1.158 (43);   2.694
30-39;   1.342 (55);   1.081 (45);   2.423
40-49;   1.568 (57);   1.161 (43);   2.729
50-59;   1.594 (57);   1.213 (43);   2.807
60-69;     810 (48);     878 (52);   1.688
70-79;     561 (46);     646 (54);   1.207
80-89;     495 (57);     375 (43);     870
90+;     199 (72);      77 (28);     276
I alt;   9.049 (55);   7.488 (45);  16.537
