Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.649 (49);   1.734 (51);   3.383
10-19;   4.809 (48);   5.110 (52);   9.919
20-29;   6.372 (51);   6.245 (49);  12.617
30-39;   4.508 (51);   4.385 (49);   8.893
40-49;   5.141 (52);   4.729 (48);   9.870
50-59;   4.914 (51);   4.682 (49);   9.596
60-69;   2.423 (48);   2.661 (52);   5.084
70-79;   1.497 (47);   1.671 (53);   3.168
80-89;     873 (56);     697 (44);   1.570
90+;     323 (72);     128 (28);     451
I alt;  32.509 (50);  32.042 (50);  64.551
