Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.153 (49);   1.190 (51);   2.343
10-19;   3.507 (49);   3.678 (51);   7.185
20-29;   4.960 (51);   4.748 (49);   9.708
30-39;   3.537 (51);   3.401 (49);   6.938
40-49;   3.988 (52);   3.642 (48);   7.630
50-59;   3.833 (52);   3.602 (48);   7.435
60-69;   1.896 (47);   2.106 (53);   4.002
70-79;   1.236 (48);   1.356 (52);   2.592
80-89;     762 (56);     599 (44);   1.361
90+;     286 (72);     114 (28);     400
I alt;  25.158 (51);  24.436 (49);  49.594
