Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.094.913;  30.079;   2.238;     432
Sjælland; 420.454;   7.631;     778;     138
Syddanmark; 608.276;   7.919;     494;      56
Midtjylland; 686.517;  11.815;     673;      84
Nordjylland; 348.809;   5.136;     308;      54
I alt i Danmark;3.158.969;  62.580;   4.491;     764
