Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.593.491; 137.349;   7.672;   1.344
Sjælland; 667.776;  39.223;   2.649;     406
Syddanmark; 995.715;  40.821;   1.860;     223
Midtjylland;1.087.796;  51.193;   2.288;     358
Nordjylland; 505.563;  21.616;   1.013;     189
I alt i Danmark;4.850.341; 290.202;  15.482;   2.520
