"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,60820,22861,10.3,3.9,590425
Midtjylland,127692,55551,9.6,4.2,1332867
Syddanmark,124715,44534,10.2,3.6,1223816
Hovedstaden,175354,64463,9.4,3.5,1855762
Sjælland,83459,37181,9.9,4.4,839135
