"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16841,0
AstraZeneca Covid-19 vaccine,Midtjylland,33213,0
AstraZeneca Covid-19 vaccine,Syddanmark,30243,182
AstraZeneca Covid-19 vaccine,Hovedstaden,44642,5
AstraZeneca Covid-19 vaccine,Sjælland,23690,235
Moderna Covid-19 Vaccine,Nordjylland,4151,3035
Moderna Covid-19 Vaccine,Midtjylland,4382,521
Moderna Covid-19 Vaccine,Syddanmark,6150,3572
Moderna Covid-19 Vaccine,Hovedstaden,5547,1914
Moderna Covid-19 Vaccine,Sjælland,2957,763
Pfizer BioNTech Covid-19 vacc,Nordjylland,39828,19826
Pfizer BioNTech Covid-19 vacc,Midtjylland,90097,55030
Pfizer BioNTech Covid-19 vacc,Syddanmark,88322,40780
Pfizer BioNTech Covid-19 vacc,Hovedstaden,125165,62544
Pfizer BioNTech Covid-19 vacc,Sjælland,56812,36183
