"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,60820,22861,590425
Midtjylland,127692,55551,1332867
Syddanmark,124715,44534,1223816
Hovedstaden,175354,64463,1855762
Sjælland,83459,37181,839135
