"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-03-11,Hovedstaden,K,116086,44232,114228,43177,1858,1055
2021-03-11,Hovedstaden,M,59268,20231,58304,19683,964,548
2021-03-11,Midtjylland,K,87839,39216,85803,38134,2036,1082
2021-03-11,Midtjylland,M,39853,16335,39027,15655,826,680
2021-03-11,Nordjylland,K,41835,16612,41196,16462,639,150
2021-03-11,Nordjylland,M,18985,6249,18543,6037,442,212
2021-03-11,Sjælland,K,56071,25402,54893,23862,1178,1540
2021-03-11,Sjælland,M,27388,11779,26751,10746,637,1033
2021-03-11,Syddanmark,K,83313,31538,81441,30999,1872,539
2021-03-11,Syddanmark,M,41402,12996,40470,12715,932,281
