"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;442739;341829;69.3;53.5;639307
Frederiksberg;77154;63109;75.0;61.4;102805
Ballerup;34597;29951;70.5;61.0;49085
Brøndby;22780;19599;64.1;55.2;35529
Dragør;10815;9645;74.0;66.0;14607
Gentofte;54730;47860;73.7;64.5;74246
Gladsaxe;48407;41022;70.2;59.5;68929
Glostrup;16317;13753;69.3;58.4;23535
Herlev;19946;17253;69.2;59.9;28826
Albertslund;17745;15027;65.1;55.2;27241
Hvidovre;36535;30852;68.8;58.1;53141
Høje Tåstrup;34273;28829;65.3;55.0;52462
Lyngby-Taarbæk;42599;36841;74.7;64.6;57040
Rødovre;28034;23655;68.0;57.4;41206
Ishøj;13818;11529;60.0;50.0;23039
Tårnby;30124;25962;70.7;60.9;42624
Vallensbæk;10995;9325;66.5;56.4;16522
Furesø;29934;26226;72.5;63.5;41308
Allerød;19691;17045;76.0;65.8;25904
Fredensborg;29829;25997;72.6;63.3;41072
Helsingør;46530;40355;73.7;63.9;63139
Hillerød;38861;33551;74.2;64.1;52357
Hørsholm;19119;17055;77.2;68.8;24780
Rudersdal;43018;37587;75.1;65.6;57259
Egedal;32629;28297;74.0;64.1;44111
Frederikssund;34685;30743;75.7;67.1;45845
Greve;35884;30316;70.9;59.9;50635
Køge;45123;38195;73.1;61.9;61723
Halsnæs;23674;21054;75.2;66.9;31483
Roskilde;66516;55722;74.6;62.5;89118
Solrød;17187;14695;72.9;62.3;23584
Gribskov;31202;27786;75.6;67.4;41250
Odsherred;25412;23028;77.0;69.7;33018
Holbæk;54016;46135;74.4;63.5;72604
Faxe;27306;23899;73.7;64.5;37054
Kalundborg;35896;30979;74.1;64.0;48418
Ringsted;24922;21136;71.1;60.3;35050
Slagelse;57783;49395;72.6;62.1;79567
Stevns;17459;15295;75.0;65.7;23272
Sorø;22432;19458;74.7;64.8;30017
Lejre;21195;18562;74.1;64.9;28619
Lolland;29873;26732;74.1;66.3;40336
Næstved;61807;51888;73.9;62.1;83592
Guldborgsund;45194;40059;74.8;66.3;60380
Vordingborg;33926;29990;74.8;66.1;45347
Bornholm;31094;27483;78.1;69.0;39816
Middelfart;29948;24925;75.9;63.2;39451
Assens;31104;25058;76.1;61.3;40891
Faaborg-Midtfyn;39322;32662;75.8;63.0;51862
Kerteminde;18448;15068;76.9;62.8;23975
Nyborg;24510;20106;76.4;62.6;32101
Odense;151629;109855;74.0;53.6;204804
Svendborg;44651;38076;75.8;64.6;58932
Nordfyn;22174;17825;74.9;60.2;29609
Langeland;9743;8533;78.8;69.0;12362
Ærø;4874;4162;81.1;69.2;6011
Haderslev;40090;30886;72.4;55.8;55387
Billund;19656;16080;73.9;60.4;26606
Sønderborg;55400;42970;75.2;58.3;73708
Tønder;26697;20533;72.2;55.5;36989
Esbjerg;84754;67021;73.4;58.0;115481
Fanø;2712;2434;78.7;70.7;3444
Varde;36713;29927;73.8;60.2;49735
Vejen;30767;24580;71.9;57.5;42785
Aabenraa;42155;32770;72.2;56.1;58407
Fredericia;37664;31312;73.1;60.8;51539
Horsens;67064;53247;71.8;57.0;93362
Kolding;67087;50620;72.1;54.4;93086
Vejle;85515;65278;72.3;55.2;118220
Herning;65819;50884;73.8;57.0;89229
Holstebro;43568;34333;74.3;58.6;58600
Lemvig;15007;12609;77.3;64.9;19424
Struer;15994;13400;76.9;64.5;20791
Syddjurs;33111;27575;76.1;63.4;43492
Norddjurs;28346;23574;76.7;63.8;36970
Favrskov;36353;29292;74.6;60.1;48712
Odder;17883;15091;77.2;65.2;23154
Randers;73290;58468;74.3;59.3;98628
Silkeborg;70727;56424;73.1;58.3;96721
Samsø;2972;2728;79.7;73.1;3730
Skanderborg;46870;39223;73.3;61.3;63964
Århus;261205;192569;74.0;54.6;353002
Ikast-Brande;30133;23863;72.1;57.1;41808
Ringkøbing-Skjern;41636;33428;74.1;59.5;56181
Hedensted;35242;29272;74.9;62.2;47045
Morsø;15477;13239;77.1;65.9;20085
Skive;34865;28493;77.2;63.1;45153
Thisted;32817;27853;76.1;64.5;43150
Viborg;72603;57870;75.0;59.8;96743
Brønderslev;26875;21773;74.2;60.1;36209
Frederikshavn;45370;38340;77.0;65.0;58952
Vesthimmerland;27077;22077;74.4;60.7;36378
Læsø;1448;1415;80.6;78.8;1796
Rebild;22457;18008;73.4;58.8;30602
Mariagerfjord;31697;26199;76.2;63.0;41579
Jammerbugt;28714;23704;75.3;62.1;38144
Aalborg;164717;123328;74.9;56.1;219929
Hjørring;48726;40759;76.2;63.7;63956
