"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;445375;356695;75.4;60.4;590780
Midtjylland;992688;782343;74.3;58.5;1336709
Syddanmark;905613;710681;73.9;58.0;1225385
Hovedstaden;1321874;1099220;71.1;59.1;1858468
Sjælland;621931;535484;73.8;63.6;842334
