"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-09;Hovedstaden;K;680867;571374;680582;562579;285;8795
2021-08-09;Hovedstaden;M;641007;527846;640712;519134;295;8712
2021-08-09;Midtjylland;K;501683;404678;501454;402178;229;2500
2021-08-09;Midtjylland;M;491005;377665;490800;374500;205;3165
2021-08-09;Nordjylland;K;223401;184088;223228;182427;173;1661
2021-08-09;Nordjylland;M;221974;172607;221766;170731;208;1876
2021-08-09;Sjælland;K;316639;276143;316124;274069;515;2074
2021-08-09;Sjælland;M;305292;259341;304779;256742;513;2599
2021-08-09;Syddanmark;K;459177;369305;458365;367153;812;2152
2021-08-09;Syddanmark;M;446436;341376;445541;338924;895;2452
