"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2021-01-04;Nationalt;1;5853676;0.00;1
2021-01-07;Nationalt;1;5853676;0.00;2
2021-01-08;Nationalt;1;5853676;0.00;3
2021-01-09;Nationalt;1;5853676;0.00;4
2021-01-12;Nationalt;1;5853676;0.00;5
2021-01-13;Nationalt;1;5853676;0.00;6
2021-01-14;Nationalt;1;5853676;0.00;7
2021-01-15;Nationalt;5;5853676;0.00;12
2021-01-16;Nationalt;8;5853676;0.00;20
2021-01-17;Nationalt;669;5853676;0.01;689
2021-01-18;Nationalt;2053;5853676;0.05;2742
2021-01-19;Nationalt;1997;5853676;0.08;4739
2021-01-20;Nationalt;1799;5853676;0.11;6538
2021-01-21;Nationalt;2273;5853676;0.15;8811
2021-01-22;Nationalt;5530;5853676;0.24;14341
2021-01-23;Nationalt;6848;5853676;0.36;21189
2021-01-24;Nationalt;6240;5853676;0.47;27429
2021-01-25;Nationalt;2386;5853676;0.51;29815
2021-01-26;Nationalt;1680;5853676;0.54;31495
2021-01-27;Nationalt;4251;5853676;0.61;35746
2021-01-28;Nationalt;7999;5853676;0.75;43745
2021-01-29;Nationalt;17837;5853676;1.05;61582
2021-01-30;Nationalt;12501;5853676;1.27;74083
2021-01-31;Nationalt;11808;5853676;1.47;85891
2021-02-01;Nationalt;7721;5853676;1.60;93612
2021-02-02;Nationalt;2956;5853676;1.65;96568
2021-02-03;Nationalt;6096;5853676;1.75;102664
2021-02-04;Nationalt;10767;5853676;1.94;113431
2021-02-05;Nationalt;13155;5853676;2.16;126586
2021-02-06;Nationalt;6637;5853676;2.28;133223
2021-02-07;Nationalt;3583;5853676;2.34;136806
2021-02-08;Nationalt;6929;5853676;2.46;143735
2021-02-09;Nationalt;4801;5853676;2.54;148536
2021-02-10;Nationalt;3845;5853676;2.60;152381
2021-02-11;Nationalt;2437;5853676;2.64;154818
2021-02-12;Nationalt;7591;5853676;2.77;162409
2021-02-13;Nationalt;955;5853676;2.79;163364
2021-02-14;Nationalt;621;5853676;2.80;163985
2021-02-15;Nationalt;3119;5853676;2.85;167104
2021-02-16;Nationalt;1323;5853676;2.88;168427
2021-02-17;Nationalt;427;5853676;2.88;168854
2021-02-18;Nationalt;309;5853676;2.89;169163
2021-02-19;Nationalt;961;5853676;2.91;170124
2021-02-20;Nationalt;574;5853676;2.92;170698
2021-02-21;Nationalt;359;5853676;2.92;171057
2021-02-22;Nationalt;1103;5853676;2.94;172160
2021-02-23;Nationalt;1922;5853676;2.97;174082
2021-02-24;Nationalt;1925;5853676;3.01;176007
2021-02-25;Nationalt;620;5853676;3.02;176627
2021-02-26;Nationalt;1010;5853676;3.03;177637
2021-02-27;Nationalt;1428;5853676;3.06;179065
2021-02-28;Nationalt;1388;5853676;3.08;180453
2021-03-01;Nationalt;1064;5853676;3.10;181517
2021-03-02;Nationalt;1288;5853676;3.12;182805
2021-03-03;Nationalt;1020;5853676;3.14;183825
2021-03-04;Nationalt;1804;5853676;3.17;185629
2021-03-05;Nationalt;5681;5853676;3.27;191310
2021-03-06;Nationalt;3948;5853676;3.34;195258
2021-03-07;Nationalt;4303;5853676;3.41;199561
2021-03-08;Nationalt;6417;5853676;3.52;205978
2021-03-09;Nationalt;7157;5853676;3.64;213135
2021-03-10;Nationalt;7190;5853676;3.76;220325
2021-03-11;Nationalt;7942;5853676;3.90;228267
2021-03-12;Nationalt;10542;5853676;4.08;238809
2021-03-13;Nationalt;5880;5853676;4.18;244689
2021-03-14;Nationalt;9320;5853676;4.34;254009
2021-03-15;Nationalt;9828;5853676;4.51;263837
2021-03-16;Nationalt;9422;5853676;4.67;273259
2021-03-17;Nationalt;9131;5853676;4.82;282390
2021-03-18;Nationalt;7230;5853676;4.95;289620
2021-03-19;Nationalt;11712;5853676;5.15;301332
2021-03-20;Nationalt;4801;5853676;5.23;306133
2021-03-21;Nationalt;4651;5853676;5.31;310784
2021-03-22;Nationalt;7742;5853676;5.44;318526
2021-03-23;Nationalt;7557;5853676;5.57;326083
2021-03-24;Nationalt;13435;5853676;5.80;339518
2021-03-25;Nationalt;8410;5853676;5.94;347928
2021-03-26;Nationalt;7837;5853676;6.08;355765
2021-03-27;Nationalt;3109;5853676;6.13;358874
2021-03-28;Nationalt;2808;5853676;6.18;361682
2021-03-29;Nationalt;6206;5853676;6.28;367888
