"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;8;0
Hovedstaden;0-9;M;2;0
Hovedstaden;10-19;K;48470;29525
Hovedstaden;10-19;M;49727;29351
Hovedstaden;20-29;K;106121;74752
Hovedstaden;20-29;M;101040;67840
Hovedstaden;30-39;K;91680;44239
Hovedstaden;30-39;M;95290;47248
Hovedstaden;40-49;K;105545;98309
Hovedstaden;40-49;M;103005;95917
Hovedstaden;50-59;K;110570;107958
Hovedstaden;50-59;M;109326;106498
Hovedstaden;60-69;K;88384;87360
Hovedstaden;60-69;M;83793;82734
Hovedstaden;70-79;K;82867;82403
Hovedstaden;70-79;M;69713;69318
Hovedstaden;80-89;K;38227;37973
Hovedstaden;80-89;M;25784;25651
Hovedstaden;90+;K;8995;8855
Hovedstaden;90+;M;3327;3289
Midtjylland;0-9;K;1;0
Midtjylland;0-9;M;5;0
Midtjylland;10-19;K;44248;24679
Midtjylland;10-19;M;45267;24105
Midtjylland;20-29;K;69479;37385
Midtjylland;20-29;M;71636;32541
Midtjylland;30-39;K;56752;23605
Midtjylland;30-39;M;60369;21384
Midtjylland;40-49;K;73964;64681
Midtjylland;40-49;M;72600;61718
Midtjylland;50-59;K;82871;81070
Midtjylland;50-59;M;83163;81071
Midtjylland;60-69;K;73802;73138
Midtjylland;60-69;M;72145;71424
Midtjylland;70-79;K;64613;64386
Midtjylland;70-79;M;60270;60004
Midtjylland;80-89;K;29236;29096
Midtjylland;80-89;M;22545;22447
Midtjylland;90+;K;6717;6638
Midtjylland;90+;M;3005;2971
Nordjylland;0-9;K;3;0
Nordjylland;0-9;M;0;0
Nordjylland;10-19;K;18302;10260
Nordjylland;10-19;M;19118;10153
Nordjylland;20-29;K;27341;14789
Nordjylland;20-29;M;30936;13767
Nordjylland;30-39;K;23445;9248
Nordjylland;30-39;M;24937;7468
Nordjylland;40-49;K;30867;27791
Nordjylland;40-49;M;30787;26859
Nordjylland;50-59;K;37587;36701
Nordjylland;50-59;M;37853;36661
Nordjylland;60-69;K;35663;35346
Nordjylland;60-69;M;34926;34518
Nordjylland;70-79;K;31940;31804
Nordjylland;70-79;M;30201;30035
Nordjylland;80-89;K;14850;14766
Nordjylland;80-89;M;11622;11567
Nordjylland;90+;K;3403;3383
Nordjylland;90+;M;1594;1579
Sjælland;0-9;K;1;1
Sjælland;0-9;M;3;1
Sjælland;10-19;K;26406;15537
Sjælland;10-19;M;27832;15991
Sjælland;20-29;K;26006;17712
Sjælland;20-29;M;28911;18422
Sjælland;30-39;K;30634;15199
Sjælland;30-39;M;30364;13329
Sjælland;40-49;K;47415;43635
Sjælland;40-49;M;45079;40555
Sjælland;50-59;K;58363;57131
Sjælland;50-59;M;58498;57208
Sjælland;60-69;K;52391;51900
Sjælland;60-69;M;50692;50196
Sjælland;70-79;K;49845;49618
Sjælland;70-79;M;45634;45462
Sjælland;80-89;K;21153;21032
Sjælland;80-89;M;16361;16275
Sjælland;90+;K;4425;4378
Sjælland;90+;M;1918;1902
Syddanmark;0-9;K;2;1
Syddanmark;0-9;M;2;1
Syddanmark;10-19;K;39709;21042
Syddanmark;10-19;M;40496;20451
Syddanmark;20-29;K;48594;23730
Syddanmark;20-29;M;52688;21331
Syddanmark;30-39;K;46924;16147
Syddanmark;30-39;M;48522;13006
Syddanmark;40-49;K;66635;54564
Syddanmark;40-49;M;64397;50140
Syddanmark;50-59;K;79913;77796
Syddanmark;50-59;M;80521;77970
Syddanmark;60-69;K;73192;72404
Syddanmark;60-69;M;71887;71023
Syddanmark;70-79;K;65560;65253
Syddanmark;70-79;M;60838;60522
Syddanmark;80-89;K;31518;31343
Syddanmark;80-89;M;23970;23854
Syddanmark;90+;K;7130;7025
Syddanmark;90+;M;3115;3078
