Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  51.520 (48);  54.719 (52); 106.239
10-19;  86.369 (50);  84.895 (50); 171.264
20-29;  95.809 (50);  95.412 (50); 191.221
30-39;  72.555 (51);  68.997 (49); 141.552
40-49;  73.345 (52);  67.300 (48); 140.645
50-59;  57.799 (50);  58.447 (50); 116.246
60-69;  29.468 (49);  30.939 (51);  60.407
70-79;  16.738 (50);  16.873 (50);  33.611
80-89;   7.121 (55);   5.746 (45);  12.867
90+;   2.203 (68);   1.025 (32);   3.228
I alt; 492.927 (50); 484.353 (50); 977.280
