Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  70.813 (49);  75.054 (51); 145.867
10-19; 111.922 (50); 110.442 (50); 222.364
20-29; 110.011 (51); 107.684 (49); 217.695
30-39;  92.108 (52);  85.164 (48); 177.272
40-49;  89.072 (52);  80.848 (48); 169.920
50-59;  66.823 (50);  66.546 (50); 133.369
60-69;  33.580 (49);  34.622 (51);  68.202
70-79;  18.265 (50);  18.411 (50);  36.676
80-89;   7.729 (55);   6.241 (45);  13.970
90+;   2.419 (68);   1.121 (32);   3.540
I alt; 602.755 (51); 586.153 (49);1.188.908
