Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.416 (49);   1.465 (51);   2.881
10-19;   4.164 (49);   4.379 (51);   8.543
20-29;   5.662 (51);   5.479 (49);  11.141
30-39;   4.019 (51);   3.865 (49);   7.884
40-49;   4.547 (52);   4.173 (48);   8.720
50-59;   4.370 (51);   4.116 (49);   8.486
60-69;   2.162 (48);   2.372 (52);   4.534
70-79;   1.368 (47);   1.525 (53);   2.893
80-89;     812 (56);     645 (44);   1.457
90+;     300 (72);     119 (28);     419
I alt;  28.820 (51);  28.138 (49);  56.958
