"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,162215,95485,27.5,16.2,590223
Midtjylland,351528,204402,26.3,15.3,1334238
Syddanmark,335257,184559,27.4,15.1,1224455
Hovedstaden,474816,293383,25.6,15.8,1856704
Sjælland,237063,151371,28.2,18.0,840411
