"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,114434,65743,17.9,10.3,638671
Frederiksberg,26041,16400,25.2,15.9,103189
Ballerup,13884,8917,28.3,18.2,49063
Brøndby,10052,6553,28.4,18.5,35403
Dragør,4810,3121,33.0,21.4,14594
Gentofte,21834,13731,29.4,18.5,74259
Gladsaxe,17827,10795,25.9,15.7,68939
Glostrup,6574,4362,28.0,18.6,23495
Herlev,8206,5024,28.5,17.4,28802
Albertslund,7267,4899,26.7,18.0,27200
Hvidovre,14327,9285,26.9,17.4,53276
Høje Tåstrup,13620,9073,26.0,17.4,52291
Lyngby-Taarbæk,15872,9870,27.8,17.3,57062
Rødovre,11048,6634,26.8,16.1,41193
Ishøj,5712,3691,24.7,16.0,23084
Tårnby,11933,7380,27.9,17.3,42709
Vallensbæk,4604,3266,27.8,19.7,16571
Furesø,12450,8006,30.3,19.5,41077
Allerød,7713,4800,29.8,18.5,25921
Fredensborg,13268,8324,32.3,20.3,41031
Helsingør,21369,13767,33.9,21.8,63120
Hillerød,15420,9506,29.7,18.3,51842
Hørsholm,9002,6010,36.2,24.2,24844
Rudersdal,17654,11388,30.9,20.0,57069
Egedal,12138,7586,27.6,17.3,43946
Frederikssund,15439,9707,33.8,21.2,45719
Greve,13572,8790,26.8,17.4,50619
Køge,15567,9942,25.3,16.2,61548
Halsnæs,11641,6860,37.0,21.8,31492
Roskilde,23594,14986,26.6,16.9,88779
Solrød,5870,3802,25.0,16.2,23494
Gribskov,15224,8863,37.1,21.6,41090
Odsherred,11610,7333,35.3,22.3,32925
Holbæk,20248,12674,28.0,17.6,72207
Faxe,9621,6211,26.1,16.8,36864
Kalundborg,14053,9076,29.0,18.8,48392
Ringsted,7843,5110,22.4,14.6,35034
Slagelse,22979,14666,28.9,18.5,79431
Stevns,6604,4234,28.4,18.2,23260
Sorø,8417,5459,28.1,18.2,29936
Lejre,8171,5119,28.7,18.0,28472
Lolland,12553,8164,31.1,20.2,40350
Næstved,22728,14468,27.3,17.3,83404
Guldborgsund,19515,12262,32.3,20.3,60401
Vordingborg,14118,9075,31.2,20.0,45295
Bornholm,15453,9822,38.9,24.7,39752
Middelfart,11495,6597,29.2,16.8,39329
Assens,12161,6268,29.8,15.3,40877
Faaborg-Midtfyn,15483,8202,29.9,15.9,51701
Kerteminde,7452,4139,31.2,17.3,23872
Nyborg,9327,5285,29.1,16.5,32015
Odense,52241,28129,25.5,13.7,204893
Svendborg,18508,9800,31.5,16.7,58819
Nordfyn,8700,4561,29.5,15.4,29539
Langeland,4601,2318,37.3,18.8,12343
Ærø,2288,1145,38.1,19.1,6009
Haderslev,14491,7160,26.2,12.9,55358
Billund,6713,3969,25.3,15.0,26525
Sønderborg,21917,10261,29.7,13.9,73766
Tønder,10158,4908,27.5,13.3,36998
Esbjerg,31501,20872,27.3,18.1,115593
Fanø,1357,811,39.4,23.6,3442
Varde,14106,8952,28.4,18.0,49723
Vejen,10748,6560,25.1,15.3,42803
Aabenraa,16773,7029,28.6,12.0,58586
Fredericia,13554,8117,26.4,15.8,51432
Horsens,22721,13361,24.5,14.4,92781
Kolding,22367,12865,24.0,13.8,93081
Vejle,29316,16611,24.9,14.1,117751
Herning,24248,14425,27.1,16.1,89359
Holstebro,17240,9559,29.4,16.3,58685
Lemvig,6547,3607,33.6,18.5,19507
Struer,6988,3831,33.5,18.4,20831
Syddjurs,13319,7741,30.7,17.8,43429
Norddjurs,11889,6841,32.1,18.5,36987
Favrskov,12574,7230,25.9,14.9,48569
Odder,6859,4160,29.7,18.0,23060
Randers,26401,15422,26.8,15.7,98406
Silkeborg,25063,15133,26.1,15.7,96109
Samsø,1481,689,40.0,18.6,3705
Skanderborg,15751,9341,24.8,14.7,63621
Århus,77670,44740,22.0,12.7,352310
Ikast-Brande,10888,6711,26.2,16.1,41625
Ringkøbing-Skjern,17020,9094,30.3,16.2,56223
Hedensted,12740,7233,27.1,15.4,46971
Morsø,6664,3743,33.2,18.6,20080
Skive,14667,8839,32.3,19.5,45347
Thisted,12715,7400,29.5,17.2,43143
Viborg,27462,16445,28.4,17.0,96713
Brønderslev,9487,5403,26.3,15.0,36082
Frederikshavn,18438,10974,31.3,18.6,58959
Vesthimmerland,10898,6863,30.0,18.9,36355
Læsø,1338,539,75.3,30.3,1777
Rebild,7609,4342,24.9,14.2,30505
Mariagerfjord,11770,7555,28.3,18.2,41578
Jammerbugt,11341,6555,29.7,17.2,38173
Aalborg,52818,32127,24.1,14.6,219490
Hjørring,19137,9984,29.9,15.6,64081
