"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-12,Hovedstaden,K,274270,173869,269492,170250,4778,3619
2021-05-12,Hovedstaden,M,200546,119514,195231,117078,5315,2436
2021-05-12,Midtjylland,K,204773,119858,200475,115416,4298,4442
2021-05-12,Midtjylland,M,146755,84544,142358,81406,4397,3138
2021-05-12,Nordjylland,K,94393,55760,93934,53674,459,2086
2021-05-12,Nordjylland,M,67822,39725,67355,38133,467,1592
2021-05-12,Sjælland,K,136236,86445,133720,84633,2516,1812
2021-05-12,Sjælland,M,100827,64926,98571,63635,2256,1291
2021-05-12,Syddanmark,K,193168,107477,190655,104014,2513,3463
2021-05-12,Syddanmark,M,142089,77082,139545,74691,2544,2391
