"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,114434,65743,638671
Frederiksberg,26041,16400,103189
Ballerup,13884,8917,49063
Brøndby,10052,6553,35403
Dragør,4810,3121,14594
Gentofte,21834,13731,74259
Gladsaxe,17827,10795,68939
Glostrup,6574,4362,23495
Herlev,8206,5024,28802
Albertslund,7267,4899,27200
Hvidovre,14327,9285,53276
Høje-Taastrup,13620,9073,52291
Lyngby-Taarbæk,15872,9870,57062
Rødovre,11048,6634,41193
Ishøj,5712,3691,23084
Tårnby,11933,7380,42709
Vallensbæk,4604,3266,16571
Furesø,12450,8006,41077
Allerød,7713,4800,25921
Fredensborg,13268,8324,41031
Helsingør,21369,13767,63120
Hillerød,15420,9506,51842
Hørsholm,9002,6010,24844
Rudersdal,17654,11388,57069
Egedal,12138,7586,43946
Frederikssund,15439,9707,45719
Greve,13572,8790,50619
Køge,15567,9942,61548
Frederiksværk-Hundested,11641,6860,31492
Roskilde,23594,14986,88779
Solrød,5870,3802,23494
Gribskov,15224,8863,41090
Odsherred,11610,7333,32925
Holbæk,20248,12674,72207
Faxe,9621,6211,36864
Kalundborg,14053,9076,48392
Ringsted,7843,5110,35034
Slagelse,22979,14666,79431
Stevns,6604,4234,23260
Sorø,8417,5459,29936
Lejre,8171,5119,28472
Lolland,12553,8164,40350
Næstved,22728,14468,83404
Guldborgsund,19515,12262,60401
Vordingborg,14118,9075,45295
Bornholm,15453,9822,39752
Middelfart,11495,6597,39329
Assens,12161,6268,40877
Faaborg-Midtfyn,15483,8202,51701
Kerteminde,7452,4139,23872
Nyborg,9327,5285,32015
Odense,52241,28129,204893
Svendborg,18508,9800,58819
Nordfyns,8700,4561,29539
Langeland,4601,2318,12343
Ærø,2288,1145,6009
Haderslev,14491,7160,55358
Billund,6713,3969,26525
Sønderborg,21917,10261,73766
Tønder,10158,4908,36998
Esbjerg,31501,20872,115593
Fanø,1357,811,3442
Varde,14106,8952,49723
Vejen,10748,6560,42803
Aabenraa,16773,7029,58586
Fredericia,13554,8117,51432
Horsens,22721,13361,92781
Kolding,22367,12865,93081
Vejle,29316,16611,117751
Herning,24248,14425,89359
Holstebro,17240,9559,58685
Lemvig,6547,3607,19507
Struer,6988,3831,20831
Syddjurs,13319,7741,43429
Norddjurs,11889,6841,36987
Favrskov,12574,7230,48569
Odder,6859,4160,23060
Randers,26401,15422,98406
Silkeborg,25063,15133,96109
Samsø,1481,689,3705
Skanderborg,15751,9341,63621
Århus,77670,44740,352310
Ikast-Brande,10888,6711,41625
Ringkøbing-Skjern,17020,9094,56223
Hedensted,12740,7233,46971
Morsø,6664,3743,20080
Skive,14667,8839,45347
Thisted,12715,7400,43143
Viborg,27462,16445,96713
Brønderslev-Dronninglund,9487,5403,36082
Frederikshavn,18438,10974,58959
Vesthimmerlands,10898,6863,36355
Læsø,1338,539,1777
Rebild,7609,4342,30505
Mariagerfjord,11770,7555,41578
Jammerbugt,11341,6555,38173
Ålborg,52818,32127,219490
Hjørring,19137,9984,64081
