"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,2
AstraZeneca Covid-19 vaccine,Midtjylland,33687,29
AstraZeneca Covid-19 vaccine,Syddanmark,30455,261
AstraZeneca Covid-19 vaccine,Hovedstaden,45220,209
AstraZeneca Covid-19 vaccine,Sjælland,23878,344
Moderna Covid-19 Vaccine,Nordjylland,12695,4468
Moderna Covid-19 Vaccine,Midtjylland,24519,15969
Moderna Covid-19 Vaccine,Syddanmark,23435,20346
Moderna Covid-19 Vaccine,Hovedstaden,34333,24122
Moderna Covid-19 Vaccine,Sjælland,22430,20146
Pfizer BioNTech Covid-19 vacc,Nordjylland,132652,91015
Pfizer BioNTech Covid-19 vacc,Midtjylland,293322,188404
Pfizer BioNTech Covid-19 vacc,Syddanmark,281367,163952
Pfizer BioNTech Covid-19 vacc,Hovedstaden,395263,269052
Pfizer BioNTech Covid-19 vacc,Sjælland,190755,130881
