"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,317350,170232,590277
Midtjylland,691214,380940,1335162
Syddanmark,639356,360600,1224752
Hovedstaden,986724,520620,1857653
Sjælland,479809,271253,841161
