"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,317350,170232,53.8,28.8,590277
Midtjylland,691214,380940,51.8,28.5,1335162
Syddanmark,639356,360600,52.2,29.4,1224752
Hovedstaden,986724,520620,53.1,28.0,1857653
Sjælland,479809,271253,57.0,32.2,841161
