Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.379 (49);   1.424 (51);   2.803
10-19;   4.068 (49);   4.273 (51);   8.341
20-29;   5.568 (51);   5.352 (49);  10.920
30-39;   3.952 (51);   3.782 (49);   7.734
40-49;   4.470 (52);   4.106 (48);   8.576
50-59;   4.297 (51);   4.050 (49);   8.347
60-69;   2.121 (48);   2.333 (52);   4.454
70-79;   1.353 (47);   1.507 (53);   2.860
80-89;     805 (56);     636 (44);   1.441
90+;     298 (72);     118 (28);     416
I alt;  28.311 (51);  27.581 (49);  55.892
