Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     215 (52);     198 (48);     413
10-19;     430 (55);     348 (45);     778
20-29;   1.235 (60);     821 (40);   2.056
30-39;   1.193 (58);     851 (42);   2.044
40-49;   1.422 (59);   1.006 (41);   2.428
50-59;   1.436 (58);   1.029 (42);   2.465
60-69;     767 (50);     779 (50);   1.546
70-79;     525 (46);     616 (54);   1.141
80-89;     487 (57);     368 (43);     855
90+;     196 (73);      74 (27);     270
I alt;   7.906 (56);   6.090 (44);  13.996
