Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.144.670;  35.699;   2.430;     452
Sjælland; 441.694;   8.972;     834;     143
Syddanmark; 640.823;   9.984;     556;      57
Midtjylland; 720.867;  14.193;     766;     101
Nordjylland; 393.047;   5.649;     334;      58
I alt i Danmark;3.341.101;  74.497;   4.920;     811
