Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     194 (51);     185 (49);     379
10-19;     382 (55);     307 (45);     689
20-29;   1.152 (61);     734 (39);   1.886
30-39;   1.141 (60);     771 (40);   1.912
40-49;   1.352 (60);     915 (40);   2.267
50-59;   1.393 (59);     955 (41);   2.348
60-69;     738 (50);     744 (50);   1.482
70-79;     504 (46);     598 (54);   1.102
80-89;     481 (57);     359 (43);     840
90+;     195 (73);      73 (27);     268
I alt;   7.532 (57);   5.641 (43);  13.173
