Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  38.849 (49);  40.976 (51);  79.825
10-19;  62.128 (50);  61.796 (50); 123.924
20-29;  66.703 (50);  67.035 (50); 133.738
30-39;  51.743 (51);  49.131 (49); 100.874
40-49;  54.633 (52);  50.686 (48); 105.319
50-59;  42.802 (49);  43.827 (51);  86.629
60-69;  22.253 (48);  23.676 (52);  45.929
70-79;  12.988 (50);  13.209 (50);  26.197
80-89;   5.579 (55);   4.525 (45);  10.104
90+;   1.784 (69);     810 (31);   2.594
I alt; 359.462 (50); 355.671 (50); 715.133
