"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17018;85
AstraZeneca Covid-19 vaccine;Midtjylland;34004;207
AstraZeneca Covid-19 vaccine;Syddanmark;30820;468
AstraZeneca Covid-19 vaccine;Hovedstaden;46341;1028
AstraZeneca Covid-19 vaccine;Sjælland;24006;457
Janssen COVID-19 vaccine;Nordjylland;3671;3671
Janssen COVID-19 vaccine;Midtjylland;9889;9889
Janssen COVID-19 vaccine;Syddanmark;7623;7623
Janssen COVID-19 vaccine;Hovedstaden;22785;22785
Janssen COVID-19 vaccine;Sjælland;2863;2863
Moderna Covid-19 Vaccine;Nordjylland;71454;70453
Moderna Covid-19 Vaccine;Midtjylland;127265;124800
Moderna Covid-19 Vaccine;Syddanmark;136156;162216
Moderna Covid-19 Vaccine;Hovedstaden;153203;149883
Moderna Covid-19 Vaccine;Sjælland;85066;105465
Pfizer BioNTech Covid-19 vacc;Nordjylland;403411;397648
Pfizer BioNTech Covid-19 vacc;Midtjylland;944753;927191
Pfizer BioNTech Covid-19 vacc;Syddanmark;841620;799473
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1265519;1238940
Pfizer BioNTech Covid-19 vacc;Sjælland;578008;550358
