"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;53757;4906;298683;18.0;1.6
0-9;M;57560;5289;315362;18.3;1.7
10-19;K;276386;242190;345301;80.0;70.1
10-19;M;286499;250216;360951;79.4;69.3
20-29;K;318572;308149;381419;83.5;80.8
20-29;M;324794;313050;398254;81.6;78.6
30-39;K;299760;290524;351173;85.4;82.7
30-39;M;298123;289419;363498;82.0;79.6
40-49;K;344145;340132;374810;91.8;90.7
40-49;M;336356;332025;375650;89.5;88.4
50-59;K;377909;375537;401598;94.1;93.5
50-59;M;378994;376359;405015;93.6;92.9
60-69;K;325691;324440;339423;96.0;95.6
60-69;M;316775;315453;329982;96.0;95.6
70-79;K;292606;291875;300660;97.3;97.1
70-79;M;262562;261918;269454;97.4;97.2
80-89;K;127459;127026;131446;97.0;96.6
80-89;M;92410;92119;94839;97.4;97.1
90+;K;25066;24872;26447;94.8;94.0
90+;M;10051;10004;10461;96.1;95.6
