"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;495554;471857;591884
Midtjylland;1115911;1062087;1342168
Syddanmark;1016219;969780;1228495
Hovedstaden;1487848;1412636;1868410
Sjælland;689943;659143;843469
