"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;9;2;90859;0.0;0.0
0-2;M;1;0;95769;0.0;0.0
3-5;K;7334;228;91286;8.0;0.2
3-5;M;8042;248;96620;8.3;0.3
6-11;K;80986;14669;180003;45.0;8.1
6-11;M;85615;15647;189265;45.2;8.3
12-15;K;118142;111083;144733;81.6;76.8
12-15;M;124082;116679;152390;81.4;76.6
16-19;K;123672;121114;137103;90.2;88.3
16-19;M;126319;122931;142269;88.8;86.4
20-39;K;618332;598673;732592;84.4;81.7
20-39;M;622917;602469;761752;81.8;79.1
40-64;K;890156;883051;952461;93.5;92.7
40-64;M;881363;873624;954476;92.3;91.5
65-79;K;450195;448933;464030;97.0;96.7
65-79;M;413324;412131;425625;97.1;96.8
80+;K;152525;151898;157893;96.6;96.2
80+;M;102461;102123;105300;97.3;97.0
