"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2228;75
Hovedstaden;3-5;M;2412;64
Hovedstaden;6-11;K;22736;2102
Hovedstaden;6-11;M;23836;2202
Hovedstaden;12-15;K;33725;31346
Hovedstaden;12-15;M;35668;33184
Hovedstaden;16-19;K;35716;34767
Hovedstaden;16-19;M;35886;34697
Hovedstaden;20-39;K;231481;224082
Hovedstaden;20-39;M;222542;215252
Hovedstaden;40-64;K;272204;269502
Hovedstaden;40-64;M;267572;264696
Hovedstaden;65-79;K;124782;124322
Hovedstaden;65-79;M;106980;106590
Hovedstaden;80+;K;43690;43473
Hovedstaden;80+;M;26386;26282
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;1955;56
Midtjylland;3-5;M;2179;62
Midtjylland;6-11;K;21603;5309
Midtjylland;6-11;M;22777;5596
Midtjylland;12-15;K;29025;27421
Midtjylland;12-15;M;30193;28530
Midtjylland;16-19;K;30234;29700
Midtjylland;16-19;M;30598;29905
Midtjylland;20-39;K;147083;142946
Midtjylland;20-39;M;149763;145369
Midtjylland;40-64;K;200312;198992
Midtjylland;40-64;M;199306;197928
Midtjylland;65-79;K;100182;99971
Midtjylland;65-79;M;94457;94247
Midtjylland;80+;K;33044;32929
Midtjylland;80+;M;23196;23125
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;731;8
Nordjylland;3-5;M;777;19
Nordjylland;6-11;K;8381;1268
Nordjylland;6-11;M;8769;1340
Nordjylland;12-15;K;12063;11316
Nordjylland;12-15;M;12853;12111
Nordjylland;16-19;K;12605;12389
Nordjylland;16-19;M;13065;12757
Nordjylland;20-39;K;58972;57170
Nordjylland;20-39;M;63783;61619
Nordjylland;40-64;K;89255;88658
Nordjylland;40-64;M;89614;88882
Nordjylland;65-79;K;49086;48956
Nordjylland;65-79;M;46941;46802
Nordjylland;80+;K;16753;16699
Nordjylland;80+;M;11906;11863
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;928;28
Sjælland;3-5;M;1054;29
Sjælland;6-11;K;10522;1489
Sjælland;6-11;M;11274;1650
Sjælland;12-15;K;17524;16637
Sjælland;12-15;M;18468;17461
Sjælland;16-19;K;17864;17535
Sjælland;16-19;M;19101;18620
Sjælland;20-39;K;67050;64665
Sjælland;20-39;M;68691;66237
Sjælland;40-64;K;137632;136559
Sjælland;40-64;M;135130;134042
Sjælland;65-79;K;75081;74885
Sjælland;65-79;M;69678;69492
Sjælland;80+;K;23492;23396
Sjælland;80+;M;16454;16418
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1492;61
Syddanmark;3-5;M;1620;74
Syddanmark;6-11;K;17744;4501
Syddanmark;6-11;M;18959;4859
Syddanmark;12-15;K;25805;24363
Syddanmark;12-15;M;26900;25393
Syddanmark;16-19;K;27253;26723
Syddanmark;16-19;M;27669;26952
Syddanmark;20-39;K;113746;109810
Syddanmark;20-39;M;118138;113992
Syddanmark;40-64;K;190753;189340
Syddanmark;40-64;M;189741;188076
Syddanmark;65-79;K;101064;100799
Syddanmark;65-79;M;95268;95000
Syddanmark;80+;K;35546;35401
Syddanmark;80+;M;24519;24435
