"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;503173;479054;246014;78.0;74.3;38.1;644935
Frederiksberg;86246;82311;49501;83.2;79.4;47.8;103641
Ballerup;38685;36691;23243;78.6;74.6;47.2;49215
Brøndby;25555;24340;14647;71.7;68.3;41.1;35645
Dragør;12168;11473;7936;83.3;78.5;54.3;14610
Gentofte;61688;58247;39000;83.1;78.5;52.5;74235
Gladsaxe;54945;51773;31365;79.3;74.7;45.3;69303
Glostrup;18117;17247;10414;77.1;73.4;44.3;23508
Herlev;22450;21211;13284;77.8;73.5;46.0;28866
Albertslund;20391;19171;11201;74.0;69.5;40.6;27570
Hvidovre;41126;38741;22964;77.2;72.7;43.1;53270
Høje Tåstrup;39191;37111;22057;74.0;70.1;41.6;52977
Lyngby-Taarbæk;48227;45447;29357;83.4;78.6;50.7;57848
Rødovre;31760;30053;18158;76.7;72.6;43.9;41402
Ishøj;16007;15129;8553;69.0;65.2;36.8;23211
Tårnby;33918;32030;20158;79.4;75.0;47.2;42715
Vallensbæk;12422;11702;7201;75.4;71.0;43.7;16479
Furesø;33962;31789;21287;82.0;76.8;51.4;41413
Allerød;21865;20578;13815;84.5;79.6;53.4;25863
Fredensborg;33253;31533;20668;80.7;76.5;50.2;41201
Helsingør;51436;49179;32581;81.7;78.1;51.7;62959
Hillerød;43721;41379;25800;82.1;77.7;48.5;53242
Hørsholm;21000;20080;14091;84.8;81.1;56.9;24754
Rudersdal;48100;45476;30927;84.0;79.4;54.0;57277
Egedal;36648;34712;22201;82.6;78.2;50.0;44376
Frederikssund;38254;36574;24183;83.6;79.9;52.8;45782
Greve;40426;38340;24716;79.6;75.5;48.6;50811
Køge;50069;47753;29371;81.1;77.4;47.6;61728
Halsnæs;25795;24752;16551;82.3;79.0;52.8;31340
Roskilde;74456;70875;45321;83.2;79.2;50.6;89484
Solrød;19351;18372;11739;81.4;77.3;49.4;23782
Gribskov;33890;32496;22031;82.4;79.0;53.6;41130
Odsherred;27457;26576;17195;83.6;80.9;52.3;32848
Holbæk;60186;57496;35095;82.7;79.0;48.2;72815
Faxe;30151;28903;18515;81.2;77.8;49.8;37153
Kalundborg;39496;37892;23508;81.6;78.3;48.6;48410
Ringsted;27933;26540;16875;79.5;75.6;48.0;35126
