"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90858;0.0;0.0
0-2;M;1;0;95769;0.0;0.0
3-5;K;7044;209;90996;7.7;0.2
3-5;M;7770;235;96348;8.1;0.2
6-11;K;80333;14293;179350;44.8;8.0
6-11;M;84875;15219;188525;45.0;8.1
12-15;K;105973;98447;132564;79.9;74.3
12-15;M;111817;103957;140125;79.8;74.2
16-19;K;120892;118379;134323;90.0;88.1
16-19;M;124485;121176;140435;88.6;86.3
20-39;K;618584;598868;732844;84.4;81.7
20-39;M;624278;603717;763113;81.8;79.1
40-64;K;883843;876715;946148;93.4;92.7
40-64;M;874473;866678;947586;92.3;91.5
65-79;K;456609;455314;470444;97.1;96.8
65-79;M;420975;419761;433276;97.2;96.9
80+;K;168065;167424;173433;96.9;96.5
80+;M;115450;115109;118289;97.6;97.3
